#{"coordinateSystem":"2d","timestamp":1764443271212,"calibrationWidth":1528,"calibrationHeight":708}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
7551.800,0.000,764.000,247.800,780.215,415.242,-31.478,716.603,368.295,15.749,848.280,371.911,14.996,780.215,415.242,-31.478,738.762,458.764,-3.930,816.226,461.552,-4.223,776.965,515.222,-10.829,716.603,368.295,15.749,848.280,371.911,14.996
9954.700,0.000,1492.600,247.800,659.872,426.629,-27.131,635.250,385.738,32.757,750.885,377.627,-3.763,659.872,426.629,-27.131,654.002,471.190,5.330,716.923,470.506,-16.643,690.896,524.954,-11.466,635.250,385.738,32.757,750.885,377.627,-3.763
11567.600,0.000,35.400,35.400,858.176,404.072,-29.595,778.705,360.025,7.383,903.641,375.386,31.703,858.176,404.072,-29.595,804.381,449.694,-17.495,878.075,457.504,-2.002,837.239,511.641,-23.230,778.705,360.025,7.383,903.641,375.386,31.703
14101.500,0.000,764.000,672.600,763.394,463.260,-32.205,700.434,403.896,12.090,837.329,404.978,6.150,763.394,463.260,-32.205,729.082,495.271,4.497,802.832,496.909,1.049,765.332,549.783,7.543,700.434,403.896,12.090,837.329,404.978,6.150
16019.900,0.000,1128.300,35.400,693.071,400.697,-28.122,662.744,368.371,31.566,780.087,361.422,5.037,693.071,400.697,-28.122,679.123,449.992,-1.002,746.415,448.052,-17.445,712.769,506.469,-20.828,662.744,368.371,31.566,780.087,361.422,5.037
17480.900,0.000,399.700,460.200,850.570,422.713,-29.657,767.642,375.370,2.800,893.963,387.737,26.575,850.570,422.713,-29.657,796.062,467.664,-12.021,863.720,473.252,3.113,826.968,525.963,-9.356,767.642,375.370,2.800,893.963,387.737,26.575
18868.700,0.000,1492.600,35.400,651.491,390.239,-23.453,642.926,361.321,36.141,749.335,361.034,-5.144,651.491,390.239,-23.453,641.228,436.167,4.124,691.688,442.982,-21.102,656.094,492.645,-17.595,642.926,361.321,36.141,749.335,361.034,-5.144
20314.500,0.000,35.400,247.800,845.411,415.695,-29.261,759.317,373.323,3.250,885.400,380.610,29.829,845.411,415.695,-29.261,794.443,463.826,-15.135,862.490,466.811,1.989,829.384,520.902,-15.325,759.317,373.323,3.250,885.400,380.610,29.829
21632.300,0.000,35.400,672.600,862.069,456.714,-28.621,787.070,395.971,-2.519,910.256,414.073,24.493,862.069,456.714,-28.621,801.629,490.733,-9.277,866.021,498.816,7.550,822.158,547.299,-0.646,787.070,395.971,-2.519,910.256,414.073,24.493
23262.900,0.000,1492.600,672.600,646.196,462.590,-24.155,624.712,408.301,26.755,732.494,400.980,-13.275,646.196,462.590,-24.155,652.836,494.193,14.759,706.225,494.476,-9.278,691.812,547.729,5.100,624.712,408.301,26.755,732.494,400.980,-13.275
24447.500,0.000,1492.600,460.200,651.204,427.025,-25.113,629.684,384.058,28.084,740.614,381.092,-5.063,651.204,427.025,-25.113,645.651,469.654,7.011,701.554,471.954,-12.794,677.540,524.967,-5.788,629.684,384.058,28.084,740.614,381.092,-5.063
26046.100,0.000,399.700,672.600,788.508,457.183,-30.471,722.950,394.601,7.975,855.841,408.216,13.494,788.508,457.183,-30.471,739.290,488.596,-1.494,810.706,495.000,2.256,767.645,542.890,0.718,722.950,394.601,7.975,855.841,408.216,13.494
27378.300,0.000,35.400,460.200,869.449,436.635,-28.039,790.939,379.751,1.487,912.694,399.649,24.579,869.449,436.635,-28.039,811.550,474.930,-10.592,875.924,483.841,4.097,832.008,534.623,-7.330,790.939,379.751,1.487,912.694,399.649,24.579
28843.900,0.000,1128.300,672.600,700.946,446.719,-29.637,657.178,396.507,21.653,781.934,390.969,-0.648,700.946,446.719,-29.637,683.822,484.636,6.516,752.593,484.213,-6.380,724.466,538.545,2.180,657.178,396.507,21.653,781.934,390.969,-0.648
30405.800,0.000,399.700,35.400,828.445,393.790,-29.322,753.704,355.392,12.313,880.184,367.928,26.489,828.445,393.790,-29.322,776.639,440.578,-14.550,851.294,447.157,-5.246,810.352,499.743,-22.664,753.704,355.392,12.313,880.184,367.928,26.489
31645.000,0.000,764.000,35.400,745.977,403.199,-30.400,697.628,363.191,22.496,824.300,366.081,10.113,745.977,403.199,-30.400,715.752,448.770,-1.903,786.573,450.535,-9.718,748.084,506.687,-13.437,697.628,363.191,22.496,824.300,366.081,10.113
32944.500,0.000,399.700,247.800,845.302,416.403,-28.881,767.063,368.052,5.127,890.713,384.728,26.142,845.302,416.403,-28.881,789.494,459.128,-12.905,857.306,467.694,0.722,819.176,518.148,-12.438,767.063,368.052,5.127,890.713,384.728,26.142
34359.100,0.000,1128.300,247.800,689.509,412.825,-27.903,656.815,374.158,27.661,773.486,370.796,3.448,689.509,412.825,-27.903,672.758,459.279,1.205,736.924,459.332,-13.477,705.919,513.394,-13.598,656.815,374.158,27.661,773.486,370.796,3.448
35891.400,0.000,764.000,460.200,745.012,459.510,-31.225,686.022,403.260,15.104,821.005,400.493,4.110,745.012,459.510,-31.225,717.800,494.148,4.478,789.519,493.262,-2.006,754.804,545.890,6.293,686.022,403.260,15.104,821.005,400.493,4.110
36861.500,0.000,1128.300,460.200,699.224,451.852,-29.103,661.215,396.874,19.499,785.946,397.572,-1.461,699.224,451.852,-29.103,682.994,485.334,7.140,750.334,489.106,-4.966,716.941,541.393,5.901,661.215,396.874,19.499,785.946,397.572,-1.461