#{"coordinateSystem":"2d","timestamp":1765162191933,"calibrationWidth":1612,"calibrationHeight":963}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
788560.000,0.000,806.000,337.050,782.434,517.942,-32.261,708.906,474.272,17.335,852.578,468.557,18.377,782.434,517.942,-32.261,740.856,582.337,-7.672,822.310,579.536,-6.947,785.227,660.130,-15.865,708.906,474.272,17.335,852.578,468.557,18.377
790554.000,0.000,1563.850,337.050,729.104,536.370,-31.246,686.922,489.724,34.857,824.522,474.390,2.111,729.104,536.370,-31.246,709.756,602.743,-0.063,784.435,597.085,-19.422,752.652,676.039,-16.312,686.922,489.724,34.857,824.522,474.390,2.111
792632.000,0.000,48.150,48.150,868.151,510.716,-31.818,776.964,464.042,7.664,916.942,468.140,32.399,868.151,510.716,-31.818,815.369,580.038,-17.340,895.243,579.940,-2.024,858.451,657.513,-22.277,776.964,464.042,7.664,916.942,468.140,32.399
796904.000,0.000,806.000,914.850,812.717,595.753,-34.081,740.560,515.303,11.063,893.296,516.354,8.584,812.717,595.753,-34.081,768.824,644.126,2.792,853.414,646.807,1.719,811.574,716.587,7.814,740.560,515.303,11.063,893.296,516.354,8.584
798511.000,0.000,1184.925,48.150,778.407,510.887,-33.599,721.872,463.658,28.353,870.278,459.403,11.175,778.407,510.887,-33.599,741.400,579.922,-4.252,827.277,579.724,-14.545,783.887,658.348,-18.980,721.872,463.658,28.353,870.278,459.403,11.175
811404.000,0.000,427.075,625.950,863.353,542.102,-41.436,762.731,461.015,9.506,941.561,456.119,20.285,863.353,542.102,-41.436,803.827,608.350,-4.473,903.609,607.345,2.338,856.004,697.232,3.022,762.731,461.015,9.506,941.561,456.119,20.285
812894.000,0.000,1563.850,48.150,751.845,499.390,-38.791,699.153,431.952,36.971,867.638,428.059,3.493,751.845,499.390,-38.791,720.661,572.388,1.011,811.981,575.888,-18.645,768.407,661.029,-12.976,699.153,431.952,36.971,867.638,428.059,3.493
814449.000,0.000,48.150,337.050,890.007,524.794,-40.108,787.699,444.220,5.073,958.432,451.186,27.694,890.007,524.794,-40.108,820.588,590.672,-9.248,919.531,594.566,4.827,869.187,679.198,-3.851,787.699,444.220,5.073,958.432,451.186,27.694
815734.000,0.000,48.150,914.850,885.065,578.511,-38.445,783.852,482.652,-1.754,955.091,486.172,20.644,885.065,578.511,-38.445,817.190,629.454,-2.218,912.087,633.438,11.124,860.846,712.420,13.378,783.852,482.652,-1.754,955.091,486.172,20.644
817603.000,0.000,1563.850,914.850,732.325,573.550,-36.093,687.736,484.227,29.946,853.415,485.374,-10.782,732.325,573.550,-36.093,714.744,629.489,13.424,795.533,635.391,-9.864,762.962,709.138,14.264,687.736,484.227,29.946,853.415,485.374,-10.782
818960.000,0.000,1563.850,625.950,735.537,540.251,-36.742,686.641,456.759,32.646,851.825,458.273,-3.943,735.537,540.251,-36.742,711.182,602.561,6.917,795.847,606.860,-13.895,759.589,688.233,1.754,686.641,456.759,32.646,851.825,458.273,-3.943
820608.000,0.000,427.075,914.850,814.946,569.711,-38.360,737.591,479.267,12.947,913.402,482.162,5.642,814.946,569.711,-38.360,769.977,625.280,5.826,863.037,630.445,1.798,814.065,704.608,14.985,737.591,479.267,12.947,913.402,482.162,5.642
822737.000,0.000,48.150,625.950,929.064,523.011,-37.779,815.269,447.786,-4.165,979.315,449.872,35.910,929.064,523.011,-37.779,859.875,593.882,-15.637,949.061,593.728,8.840,902.206,680.389,-3.610,815.269,447.786,-4.165,979.315,449.872,35.910
824594.000,0.000,1184.925,914.850,774.047,566.610,-37.201,713.644,477.518,22.379,884.501,477.687,-1.733,774.047,566.610,-37.201,745.807,622.742,8.377,833.689,627.080,-5.182,794.252,704.134,12.720,713.644,477.518,22.379,884.501,477.687,-1.733
826659.000,0.000,427.075,48.150,865.285,499.186,-40.109,775.283,423.543,13.873,948.780,433.630,22.739,865.285,499.186,-40.109,802.233,568.540,-7.467,902.031,575.396,-1.753,849.635,662.692,-8.754,775.283,423.543,13.873,948.780,433.630,22.739
828290.000,0.000,806.000,48.150,768.404,497.193,-36.919,710.537,439.206,33.971,874.676,422.300,6.886,768.404,497.193,-36.919,740.276,573.269,-2.119,829.472,566.984,-17.602,790.652,656.974,-14.823,710.537,439.206,33.971,874.676,422.300,6.886
830183.000,0.000,427.075,337.050,864.983,538.501,-39.813,772.453,455.872,10.045,945.552,456.058,18.875,864.983,538.501,-39.813,808.586,601.913,-4.022,902.022,602.467,1.696,855.801,688.309,2.415,772.453,455.872,10.045,945.552,456.058,18.875
831988.000,0.000,1184.925,337.050,729.239,538.110,-35.535,688.981,459.378,34.583,849.986,453.110,-4.728,729.239,538.110,-35.535,712.609,602.227,7.183,797.463,603.445,-15.267,760.340,685.697,-1.790,688.981,459.378,34.583,849.986,453.110,-4.728
833716.000,0.000,806.000,625.950,802.553,564.068,-37.805,734.080,474.382,16.434,909.171,476.205,3.195,802.553,564.068,-37.805,766.359,619.979,6.172,856.509,625.397,-1.220,809.483,701.396,14.013,734.080,474.382,16.434,909.171,476.205,3.195
835203.000,0.000,1184.925,625.950,738.095,565.061,-35.676,695.134,477.199,29.248,861.486,475.500,-7.563,738.095,565.061,-35.676,719.471,620.405,10.796,804.268,626.761,-10.005,769.662,703.810,9.937,695.134,477.199,29.248,861.486,475.500,-7.563