#{"coordinateSystem":"2d","timestamp":1765067785210,"calibrationWidth":1440,"calibrationHeight":812}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
65991.000,0.000,720.000,284.200,778.246,551.314,-72.795,634.258,448.151,20.186,923.377,444.591,16.078,778.246,551.314,-72.795,697.229,620.558,9.370,860.580,619.993,6.825,784.248,719.027,23.875,634.258,448.151,20.186,923.377,444.591,16.078
67603.400,0.000,1399.400,284.200,693.420,557.725,-71.399,575.485,457.416,38.335,860.558,448.859,-2.214,693.420,557.725,-71.399,639.698,626.365,18.558,794.414,626.308,-6.474,727.614,724.465,25.484,575.485,457.416,38.335,860.558,448.859,-2.214
69437.800,0.000,40.600,40.600,880.110,538.191,-72.250,718.397,434.491,4.538,995.368,442.591,44.078,880.110,538.191,-72.250,778.679,607.554,-11.590,936.565,611.668,12.403,853.540,713.671,7.828,718.397,434.491,4.538,995.368,442.591,44.078
71056.400,0.000,720.000,771.400,784.678,595.537,-69.073,641.037,480.730,10.523,930.505,478.881,6.355,784.678,595.537,-69.073,708.013,653.243,19.780,868.642,651.801,17.225,792.804,745.885,44.518,641.037,480.730,10.523,930.505,478.881,6.355
72891.300,0.000,1059.700,40.600,702.154,534.984,-72.965,580.708,441.647,39.223,868.947,431.848,8.362,702.154,534.984,-72.965,639.006,611.106,10.564,802.139,609.794,-8.526,729.858,717.045,10.072,580.708,441.647,39.223,868.947,431.848,8.362
74596.200,0.000,380.300,527.800,870.364,565.173,-73.348,704.356,456.120,0.916,987.310,461.575,35.611,870.364,565.173,-73.348,767.474,631.209,-2.671,929.308,633.349,18.314,845.498,736.213,25.249,704.356,456.120,0.916,987.310,461.575,35.611
76694.800,0.000,1399.400,40.600,643.927,544.865,-71.384,553.539,448.948,56.820,833.905,440.924,-7.663,643.927,544.865,-71.384,606.705,620.391,17.824,759.536,621.877,-20.568,693.930,723.379,9.024,553.539,448.948,56.820,833.905,440.924,-7.663
78324.700,0.000,40.600,284.200,866.736,549.530,-72.853,703.135,446.245,4.678,982.523,448.806,39.300,866.736,549.530,-72.853,768.250,621.062,-7.183,928.280,622.194,13.722,846.839,725.877,14.537,703.135,446.245,4.678,982.523,448.806,39.300
79730.200,0.000,40.600,771.400,906.303,598.201,-69.527,730.912,480.120,-15.559,1004.347,485.198,35.483,906.303,598.201,-69.527,788.792,657.118,0.494,947.460,657.637,31.097,866.154,752.444,43.885,730.912,480.120,-15.559,1004.347,485.198,35.483
81697.100,0.000,1399.400,771.400,606.436,610.175,-68.289,524.759,495.753,51.424,804.213,491.620,-32.423,606.436,610.175,-68.289,585.960,667.644,39.091,730.380,670.234,-10.067,673.607,763.865,47.501,524.759,495.753,51.424,804.213,491.620,-32.423
82931.100,0.000,1399.400,527.800,608.337,577.589,-68.943,519.240,476.959,57.511,796.857,463.964,-21.156,608.337,577.589,-68.943,585.346,645.984,27.879,730.431,645.646,-18.736,674.878,744.312,25.098,519.240,476.959,57.511,796.857,463.964,-21.156
84590.300,0.000,380.300,771.400,868.744,601.716,-71.721,701.329,482.336,-5.834,987.834,480.434,22.869,868.744,601.716,-71.721,769.724,661.261,10.339,933.467,658.687,27.741,851.635,757.278,48.808,701.329,482.336,-5.834,987.834,480.434,22.869
85824.200,0.000,40.600,527.800,957.659,577.712,-70.400,769.629,465.913,-19.042,1037.110,468.644,53.638,957.659,577.712,-70.400,840.740,645.605,-14.494,992.687,643.452,28.294,913.115,743.807,25.679,769.629,465.913,-19.042,1037.110,468.644,53.638
87305.500,0.000,1059.700,771.400,653.086,621.626,-67.037,545.645,505.198,34.860,832.087,499.372,-24.733,653.086,621.626,-67.037,616.322,679.209,36.440,769.030,681.628,1.110,702.723,769.642,57.256,545.645,505.198,34.860,832.087,499.372,-24.733
88427.100,0.000,380.300,40.600,824.661,567.186,-74.519,656.298,454.750,8.846,952.436,450.100,27.123,824.661,567.186,-74.519,731.758,641.000,3.376,895.915,637.422,14.684,820.221,742.545,26.614,656.298,454.750,8.846,952.436,450.100,27.123
89290.400,0.000,720.000,40.600,736.118,571.373,-74.060,600.428,462.409,25.058,899.984,455.772,5.533,736.118,571.373,-74.060,670.152,643.454,17.661,830.103,642.303,5.297,757.496,742.318,33.411,600.428,462.409,25.058,899.984,455.772,5.533
90190.500,0.000,380.300,284.200,830.035,591.302,-72.378,662.051,475.924,2.996,956.160,465.481,22.481,830.035,591.302,-72.378,742.057,656.052,8.281,901.774,651.019,20.210,830.608,750.056,38.092,662.051,475.924,2.996,956.160,465.481,22.481
90968.300,0.000,1059.700,284.200,680.941,594.084,-70.643,573.028,477.247,39.311,863.610,473.971,-15.020,680.941,594.084,-70.643,639.850,658.634,28.814,793.143,660.707,-3.922,722.606,753.826,41.316,573.028,477.247,39.311,863.610,473.971,-15.020
92391.000,0.000,720.000,527.800,787.426,618.957,-70.781,633.830,493.165,5.252,938.325,491.419,3.388,787.426,618.957,-70.781,702.753,676.656,23.461,869.200,676.850,22.544,788.927,766.861,58.366,633.830,493.165,5.252,938.325,491.419,3.388
93900.600,0.000,1059.700,527.800,665.364,613.956,-68.357,553.382,496.938,32.213,844.155,488.730,-20.821,665.364,613.956,-68.357,626.619,673.992,33.913,779.605,674.266,2.111,711.651,766.128,56.964,553.382,496.938,32.213,844.155,488.730,-20.821