#{"coordinateSystem":"2d","timestamp":1765174129275,"calibrationWidth":1440,"calibrationHeight":778}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
11075.700,0.000,720.000,272.300,760.007,465.664,-47.363,675.629,394.454,19.351,855.071,400.270,15.247,760.007,465.664,-47.363,716.897,528.325,0.448,810.274,531.271,-2.126,758.782,610.843,3.117,675.629,394.454,19.351,855.071,400.270,15.247
13942.000,0.000,1401.100,272.300,510.244,487.223,-45.142,444.763,412.032,32.297,618.355,412.703,2.478,510.244,487.223,-45.142,483.372,546.568,6.286,572.021,549.594,-11.872,525.371,628.085,1.418,444.763,412.032,32.297,618.355,412.703,2.478
15349.100,0.000,38.900,38.900,512.610,486.356,-45.540,448.355,410.849,32.565,622.641,412.932,1.103,512.610,486.356,-45.540,485.992,547.203,7.540,575.525,550.427,-11.636,527.774,628.479,3.731,448.355,410.849,32.565,622.641,412.932,1.103
19514.500,0.000,720.000,739.100,749.829,729.318,-45.998,653.510,592.761,-9.309,869.728,615.720,-4.701,749.829,729.318,-45.998,692.053,756.286,23.516,803.847,767.186,26.145,737.414,810.527,67.632,653.510,592.761,-9.309,869.728,615.720,-4.701
22306.200,0.000,1060.550,38.900,615.182,407.995,-47.318,548.230,341.260,36.321,729.778,346.956,10.410,615.182,407.995,-47.318,584.383,478.674,-1.104,671.046,484.283,-16.897,621.774,570.720,-11.547,548.230,341.260,36.321,729.778,346.956,10.410
23899.200,0.000,379.450,505.700,908.686,600.024,-54.717,798.591,492.055,6.748,1015.501,499.651,13.445,908.686,600.024,-54.717,850.673,657.560,7.977,962.037,660.899,12.090,904.683,748.285,30.136,798.591,492.055,6.748,1015.501,499.651,13.445
25160.100,0.000,1401.100,38.900,318.077,378.136,-57.263,253.538,298.054,60.463,475.646,296.349,-1.175,318.077,378.136,-57.263,293.080,467.451,7.089,406.111,468.618,-30.489,344.114,579.379,-18.830,253.538,298.054,60.463,475.646,296.349,-1.175
26963.000,0.000,38.900,272.300,388.517,390.140,-55.247,331.551,310.910,55.319,541.801,317.200,0.876,388.517,390.140,-55.247,359.476,473.218,6.720,468.488,478.509,-26.718,401.170,584.539,-17.815,331.551,310.910,55.319,541.801,317.200,0.876
28874.000,0.000,38.900,739.100,428.821,403.978,-56.905,365.713,318.735,52.438,579.224,323.491,0.698,428.821,403.978,-56.905,402.019,486.519,7.962,509.037,491.715,-23.550,446.424,599.582,-12.011,365.713,318.735,52.438,579.224,323.491,0.698
30298.700,0.000,1401.100,739.100,474.634,727.490,-45.416,393.406,586.662,7.569,619.024,606.204,-26.567,474.634,727.490,-45.416,448.901,762.022,38.744,561.523,771.447,18.160,503.629,810.119,71.983,393.406,586.662,7.569,619.024,606.204,-26.567
31359.100,0.000,1401.100,505.700,455.785,573.758,-54.681,382.665,454.926,32.619,605.110,465.417,-14.615,455.785,573.758,-54.681,429.978,635.963,24.647,545.144,644.556,-3.507,486.290,729.503,34.867,382.665,454.926,32.619,605.110,465.417,-14.615
32670.000,0.000,379.450,739.100,942.611,706.003,-54.569,810.755,569.066,-4.283,1063.679,585.413,9.949,942.611,706.003,-54.569,872.271,757.534,11.914,998.280,761.147,20.635,926.714,817.696,51.195,810.755,569.066,-4.283,1063.679,585.413,9.949
35162.200,0.000,38.900,505.700,937.599,630.984,-57.122,805.639,511.758,1.639,1036.085,516.519,21.716,937.599,630.984,-57.122,867.253,688.817,3.407,989.685,690.774,15.706,926.116,778.558,27.171,805.639,511.758,1.639,1036.085,516.519,21.716
36258.900,0.000,1060.550,739.100,581.417,578.844,-53.167,498.057,472.906,25.830,712.133,481.391,-4.942,581.417,578.844,-53.167,545.666,634.872,17.804,657.408,640.578,-0.806,599.313,727.428,29.303,498.057,472.906,25.830,712.133,481.391,-4.942
37698.400,0.000,379.450,38.900,853.113,380.833,-53.942,733.506,300.798,14.616,942.083,311.559,34.890,853.113,380.833,-53.942,788.818,460.255,-13.142,890.098,462.771,-0.079,839.450,558.757,-10.346,733.506,300.798,14.616,942.083,311.559,34.890
38794.400,0.000,720.000,38.900,667.383,402.631,-53.375,582.725,327.580,32.054,782.623,333.554,13.368,667.383,402.631,-53.375,626.688,477.095,0.685,725.898,482.620,-11.164,669.864,573.534,-4.751,582.725,327.580,32.054,782.623,333.554,13.368
39804.900,0.000,379.450,272.300,883.321,489.788,-53.124,777.475,400.555,15.421,986.914,403.048,18.859,883.321,489.788,-53.124,833.631,558.054,-0.323,936.083,557.631,2.143,883.267,650.374,10.446,777.475,400.555,15.421,986.914,403.048,18.859
40959.800,0.000,1060.550,272.300,553.029,493.202,-51.729,475.745,399.489,30.734,677.749,406.274,3.425,553.029,493.202,-51.729,517.713,557.321,8.150,620.402,563.700,-8.166,565.641,652.318,9.936,475.745,399.489,30.734,677.749,406.274,3.425
43230.700,0.000,720.000,505.700,763.218,618.954,-53.511,663.522,510.697,9.735,879.117,520.528,5.189,763.218,618.954,-53.511,711.695,677.534,13.213,822.998,683.541,10.567,764.276,762.397,36.894,663.522,510.697,9.735,879.117,520.528,5.189
44496.900,0.000,1060.550,505.700,477.805,616.883,-51.582,398.626,508.335,27.426,608.968,509.035,-9.409,477.805,616.883,-51.582,449.399,675.329,20.336,558.170,677.072,-1.844,505.870,758.902,31.513,398.626,508.335,27.426,608.968,509.035,-9.409