#{"coordinateSystem":"2d","timestamp":1764965698495,"calibrationWidth":1366,"calibrationHeight":633}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
58724.000,0.000,683.000,221.550,739.314,314.721,-33.981,663.888,264.588,8.857,801.286,260.954,12.528,739.314,314.721,-33.981,706.772,353.438,-0.764,771.997,350.064,1.517,740.700,401.370,6.371,663.888,264.588,8.857,801.286,260.954,12.528
61186.000,0.000,1334.350,221.550,713.744,324.781,-33.624,648.204,273.856,13.648,782.335,265.736,2.280,713.744,324.781,-33.624,692.360,359.676,6.886,760.263,353.346,0.032,729.113,405.078,13.436,648.204,273.856,13.648,782.335,265.736,2.280
65102.700,0.000,31.650,31.650,769.163,323.291,-34.693,689.084,267.714,3.187,827.556,268.928,17.136,769.163,323.291,-34.693,731.908,357.550,-2.690,799.113,355.401,5.658,763.042,404.826,8.424,689.084,267.714,3.187,827.556,268.928,17.136
66421.000,0.000,683.000,601.350,753.319,347.714,-33.238,678.250,287.642,1.565,816.485,286.763,6.637,753.319,347.714,-33.238,719.795,377.612,6.303,788.672,375.333,9.299,753.548,419.761,22.589,678.250,287.642,1.565,816.485,286.763,6.637
67937.300,0.000,1008.675,31.650,734.077,335.571,-33.676,664.224,278.686,8.402,802.090,275.714,4.383,734.077,335.571,-33.676,707.285,368.721,6.715,776.125,365.250,4.182,742.197,412.854,16.717,664.224,278.686,8.402,802.090,275.714,4.383
69235.700,0.000,357.325,411.450,764.771,326.916,-34.213,686.991,273.336,3.857,824.811,273.548,14.357,764.771,326.916,-34.213,728.439,361.510,-0.752,795.679,359.898,5.608,760.432,408.045,10.850,686.991,273.336,3.857,824.811,273.548,14.357
70639.000,0.000,1334.350,31.650,715.095,323.535,-34.273,651.532,274.938,17.605,786.436,265.238,3.232,715.095,323.535,-34.273,695.472,360.255,5.082,761.482,354.500,-3.383,733.114,405.772,7.803,651.532,274.938,17.605,786.436,265.238,3.232
71853.900,0.000,31.650,221.550,763.940,323.089,-34.278,684.917,274.971,6.728,822.303,268.791,14.488,763.940,323.089,-34.278,732.447,360.738,-1.589,799.122,355.484,2.990,767.522,406.838,6.867,684.917,274.971,6.728,822.303,268.791,14.488
72769.600,0.000,31.650,601.350,768.741,337.437,-33.449,690.156,281.106,2.232,828.698,279.434,11.768,768.741,337.437,-33.449,734.435,369.955,1.674,801.354,366.656,7.478,767.170,413.527,15.304,690.156,281.106,2.232,828.698,279.434,11.768
73719.200,0.000,1334.350,601.350,746.169,338.927,-33.335,676.864,282.414,7.103,815.004,281.443,4.677,746.169,338.927,-33.335,717.417,370.337,6.731,785.365,369.124,5.174,751.438,415.019,17.574,676.864,282.414,7.103,815.004,281.443,4.677
74519.000,0.000,1334.350,411.450,740.428,333.645,-34.112,672.935,278.414,11.198,810.537,277.352,5.750,740.428,333.645,-34.112,714.376,366.917,4.877,781.222,365.128,1.425,748.391,412.339,12.073,672.935,278.414,11.198,810.537,277.352,5.750
75651.900,0.000,357.325,601.350,775.857,346.571,-33.284,698.456,285.794,-0.327,836.225,286.875,11.127,775.857,346.571,-33.284,737.940,375.694,2.924,806.434,374.203,9.893,771.302,418.799,19.400,698.456,285.794,-0.327,836.225,286.875,11.127
76918.100,0.000,31.650,411.450,811.579,335.381,-33.966,724.514,275.151,-7.259,857.132,282.405,26.240,811.579,335.381,-33.966,762.655,367.437,-8.112,827.525,368.558,11.909,788.592,415.220,9.680,724.514,275.151,-7.259,857.132,282.405,26.240
77986.600,0.000,1008.675,601.350,745.390,341.564,-33.160,677.387,284.363,7.764,816.356,282.412,3.141,745.390,341.564,-33.160,717.620,372.979,7.427,785.561,371.275,4.479,752.856,417.451,19.380,677.387,284.363,7.764,816.356,282.412,3.141
79519.400,0.000,357.325,31.650,761.578,340.329,-33.831,687.658,281.515,5.285,826.865,280.708,9.303,761.578,340.329,-33.831,729.495,372.261,3.216,796.291,370.048,5.692,762.790,416.714,14.643,687.658,281.515,5.285,826.865,280.708,9.303
80986.900,0.000,683.000,31.650,738.612,340.271,-33.521,670.242,282.830,8.500,809.530,279.748,3.664,738.612,340.271,-33.521,712.331,372.419,6.951,781.197,369.714,3.909,747.592,416.940,17.928,670.242,282.830,8.500,809.530,279.748,3.664
82252.700,0.000,357.325,221.550,752.259,340.590,-33.691,679.638,283.462,6.336,819.100,280.865,6.647,752.259,340.590,-33.691,722.439,372.985,5.143,790.303,370.201,5.304,757.595,417.511,16.802,679.638,283.462,6.336,819.100,280.865,6.647
83686.200,0.000,1008.675,221.550,728.838,339.051,-33.639,662.783,283.648,11.738,799.822,278.327,1.400,728.838,339.051,-33.639,706.653,372.214,8.233,775.160,368.313,2.013,744.188,416.228,16.897,662.783,283.648,11.738,799.822,278.327,1.400
84485.700,0.000,683.000,411.450,747.206,337.307,-32.515,673.576,285.878,6.376,814.749,278.736,4.916,747.206,337.307,-32.515,717.257,369.858,6.018,787.106,366.366,5.076,755.388,412.687,17.951,673.576,285.878,6.376,814.749,278.736,4.916
85186.200,0.000,1008.675,411.450,741.146,338.603,-34.874,669.607,278.893,7.785,812.454,273.350,1.918,741.146,338.603,-34.874,714.995,371.652,9.274,786.483,367.176,5.734,753.214,413.189,22.516,669.607,278.893,7.785,812.454,273.350,1.918