#{"coordinateSystem":"2d","timestamp":1781629579362,"calibrationWidth":1440,"calibrationHeight":778,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
3883.800,0.000,720.000,272.300,0.500,0.350,743.057,503.136,-46.454,651.498,443.408,21.122,832.196,444.377,20.838,743.057,503.136,-46.454,691.592,585.580,-6.328,789.311,585.147,-6.188,739.675,677.298,-9.058,651.498,443.408,21.122,832.196,444.377,20.838,0.151,9.775,-0.477
5933.000,0.000,1401.100,272.300,0.973,0.350,392.279,550.894,-41.830,358.916,493.963,56.633,522.704,480.400,-11.180,392.279,550.894,-41.830,380.933,631.832,8.386,464.086,629.701,-31.051,426.093,713.391,-17.483,358.916,493.963,56.633,522.704,480.400,-11.180,21.121,14.387,8.165
7634.200,0.000,38.900,38.900,0.027,0.050,1013.623,413.554,-39.385,887.090,370.426,12.237,1051.243,412.635,63.007,1013.623,413.554,-39.385,938.411,499.603,-44.412,1035.621,513.820,-13.469,987.893,599.744,-61.350,887.090,370.426,12.237,1051.243,412.635,63.007,-15.602,31.599,-13.609
9374.200,0.000,720.000,739.100,0.500,0.950,719.566,789.679,-43.657,601.028,682.345,-11.027,824.674,695.235,-5.894,719.566,789.679,-43.657,657.543,826.585,27.132,765.538,835.804,29.269,715.822,889.132,65.774,601.028,682.345,-11.027,824.674,695.235,-5.894,-1.998,-14.810,-1.511
10915.300,0.000,1060.550,38.900,0.736,0.050,573.675,401.963,-43.623,507.802,379.835,47.488,686.473,376.218,21.334,573.675,401.963,-43.623,527.160,500.494,-15.412,627.759,499.969,-31.060,568.067,593.198,-49.505,507.802,379.835,47.488,686.473,376.218,21.334,8.386,26.637,0.981
12364.800,0.000,379.450,505.700,0.264,0.650,887.015,734.262,-43.448,771.210,611.290,-13.716,992.188,611.520,-4.860,887.015,734.262,-43.448,817.709,779.338,26.192,920.946,789.481,31.215,863.029,870.218,67.132,771.210,611.290,-13.716,992.188,611.520,-4.860,-0.570,-14.213,0.028
14465.800,0.000,1401.100,38.900,0.973,0.050,398.623,426.998,-40.899,363.522,398.455,63.492,532.512,380.028,3.175,398.623,426.998,-40.899,368.836,519.141,-6.656,455.104,516.227,-41.568,403.670,614.087,-47.896,363.522,398.455,63.492,532.512,380.028,3.175,17.761,25.509,6.802
16099.000,0.000,38.900,272.300,0.027,0.350,1052.493,560.985,-51.081,915.734,474.554,-4.194,1113.341,486.180,47.288,1052.493,560.985,-51.081,970.152,656.597,-21.096,1075.248,656.230,9.113,1018.161,754.131,-5.729,915.734,474.554,-4.194,1113.341,486.180,47.288,-12.298,8.346,-4.618
20856.300,0.000,38.900,739.100,0.027,0.950,1011.331,722.496,-39.375,872.262,629.218,-31.533,1069.361,607.997,17.349,1011.331,722.496,-39.375,935.492,781.585,11.649,1035.616,771.321,38.982,984.419,845.724,55.245,872.262,629.218,-31.533,1069.361,607.997,17.349,-12.639,-12.629,4.427
23618.900,0.000,1401.100,739.100,0.973,0.950,438.099,749.153,-42.018,365.441,630.078,16.518,575.480,642.776,-26.391,438.099,749.153,-42.018,412.900,798.093,33.704,510.318,808.139,9.580,466.426,886.163,55.032,365.441,630.078,16.518,575.480,642.776,-26.391,10.182,-10.221,-3.714
24516.900,0.000,1401.100,505.700,0.973,0.650,410.975,655.477,-47.742,365.760,560.264,41.737,560.057,572.007,-10.784,410.975,655.477,-47.742,385.719,732.810,15.315,482.624,747.071,-14.945,428.871,831.248,8.875,365.760,560.264,41.737,560.057,572.007,-10.784,14.673,5.167,-1.875
26220.700,0.000,379.450,739.100,0.264,0.950,882.286,749.554,-40.858,771.348,622.853,-19.533,981.751,634.448,2.879,882.286,749.554,-40.858,806.132,793.335,19.921,902.941,806.141,32.476,840.504,882.690,61.846,771.348,622.853,-19.533,981.751,634.448,2.879,-5.409,-13.756,-4.015
27202.800,0.000,38.900,505.700,0.027,0.650,1023.967,640.224,-43.718,890.136,544.294,-21.937,1062.502,554.949,54.570,1023.967,640.224,-43.718,931.843,721.058,-26.028,1027.859,725.549,18.830,968.002,807.278,2.007,890.136,544.294,-21.937,1062.502,554.949,54.570,-22.591,6.296,-9.800
29681.800,0.000,1060.550,739.100,0.736,0.950,538.396,728.729,-43.289,468.739,607.045,15.049,674.743,619.484,-25.945,538.396,728.729,-43.289,511.462,775.533,35.010,609.439,784.663,11.167,559.648,867.604,57.569,468.739,607.045,15.049,674.743,619.484,-25.945,11.301,-11.128,-3.223
31033.400,0.000,379.450,38.900,0.264,0.050,871.373,437.396,-43.963,754.625,392.992,20.590,931.372,419.012,50.005,871.373,437.396,-43.963,798.371,530.470,-33.019,901.536,538.737,-14.702,846.718,630.065,-50.156,754.625,392.992,20.590,931.372,419.012,50.005,-10.168,26.561,-8.550
31782.300,0.000,720.000,38.900,0.500,0.050,712.960,445.271,-47.768,630.525,402.236,35.353,816.160,407.593,25.340,712.960,445.271,-47.768,659.512,537.970,-14.313,759.623,541.052,-20.186,703.617,633.405,-31.824,630.525,402.236,35.353,816.160,407.593,25.340,3.779,19.011,-2.637
32816.500,0.000,379.450,272.300,0.264,0.350,887.261,517.870,-49.496,769.559,454.273,12.557,962.458,471.544,39.642,887.261,517.870,-49.496,815.886,613.585,-20.412,922.478,618.930,-3.688,866.332,713.994,-20.689,769.559,454.273,12.557,962.458,471.544,39.642,-7.952,14.745,-5.218
33699.800,0.000,1060.550,272.300,0.736,0.350,531.930,619.181,-50.374,466.797,525.783,39.108,669.888,522.574,-9.022,531.930,619.181,-50.374,508.738,693.785,16.867,613.918,698.213,-11.966,562.776,781.312,12.538,466.797,525.783,39.108,669.888,522.574,-9.022,14.448,2.432,2.742
34616.300,0.000,720.000,505.700,0.500,0.650,736.883,725.185,-43.580,636.790,601.262,-6.126,857.318,613.844,-7.280,736.883,725.185,-43.580,678.401,767.386,26.651,781.932,780.488,25.382,723.027,850.549,60.844,636.790,601.262,-6.126,857.318,613.844,-7.280,0.824,-12.965,-4.112
35599.800,0.000,1060.550,505.700,0.736,0.650,542.271,728.972,-42.858,455.671,603.719,9.400,667.189,608.396,-27.258,542.271,728.972,-42.858,511.267,777.988,37.103,610.225,783.696,16.204,566.362,865.343,65.596,455.671,603.719,9.400,667.189,608.396,-27.258,9.646,-13.204,-1.257