#{"coordinateSystem":"2d","timestamp":1780856344705,"calibrationWidth":1440,"calibrationHeight":778,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
10933.300,0.000,720.000,272.300,0.500,0.350,700.771,429.587,-44.091,619.921,386.934,24.665,788.828,379.434,19.582,700.771,429.587,-44.091,662.691,498.721,-6.078,752.027,493.269,-9.046,710.388,583.276,-15.526,619.921,386.934,24.665,788.828,379.434,19.582,1.935,11.213,2.501
12517.100,0.000,1401.100,272.300,0.973,0.350,593.022,452.903,-43.828,545.880,411.789,47.432,697.789,374.721,-2.029,593.022,452.903,-43.828,588.069,523.079,7.339,674.809,500.511,-23.173,645.471,594.807,-17.789,545.880,411.789,47.432,697.789,374.721,-2.029,19.717,11.791,14.181
13863.600,0.000,38.900,38.900,0.027,0.050,794.865,428.924,-42.673,690.292,366.245,3.749,852.308,391.390,42.662,794.865,428.924,-42.673,728.076,492.278,-20.889,821.275,501.095,3.488,771.008,581.502,-20.694,690.292,366.245,3.749,852.308,391.390,42.662,-15.915,13.468,-7.701
15131.600,0.000,720.000,739.100,0.500,0.950,713.928,490.927,-45.288,624.324,413.071,9.324,801.963,413.113,10.535,713.928,490.927,-45.288,667.294,542.126,7.109,762.100,539.053,8.079,715.606,624.822,17.171,624.324,413.071,9.324,801.963,413.113,10.535,-0.699,-3.677,0.164
16326.800,0.000,1060.550,38.900,0.736,0.050,648.256,411.341,-44.223,579.416,379.120,37.791,743.896,354.791,14.859,648.256,411.341,-44.223,621.630,488.488,-5.402,713.103,473.908,-19.075,675.283,565.590,-26.895,579.416,379.120,37.791,743.896,354.791,14.859,9.041,15.868,8.471
17598.500,0.000,379.450,505.700,0.264,0.650,751.357,450.669,-44.762,654.489,384.385,7.579,825.285,394.181,27.712,751.357,450.669,-44.762,696.693,511.342,-7.928,787.550,511.921,4.611,740.425,597.224,-4.003,654.489,384.385,7.579,825.285,394.181,27.712,-8.143,5.229,-2.562
18768.600,0.000,1401.100,38.900,0.973,0.050,598.534,430.475,-43.686,551.226,396.284,50.168,705.608,360.621,1.831,598.534,430.475,-43.686,589.299,504.973,2.777,675.959,485.190,-27.110,642.634,578.566,-27.101,551.226,396.284,50.168,705.608,360.621,1.831,19.133,15.953,13.401
19848.800,0.000,38.900,272.300,0.027,0.350,799.827,446.310,-43.390,692.426,375.035,-0.117,856.353,396.679,41.051,799.827,446.310,-43.390,730.685,507.382,-18.204,821.235,511.893,7.582,771.669,593.199,-11.571,692.426,375.035,-0.117,856.353,396.679,41.051,-16.850,8.754,-7.047
20863.700,0.000,38.900,739.100,0.027,0.950,753.642,488.464,-44.653,658.462,404.082,1.454,832.610,416.910,21.314,753.642,488.464,-44.653,695.325,539.249,-0.333,789.759,540.497,11.987,737.397,623.705,12.462,658.462,404.082,1.454,832.610,416.910,21.314,-7.727,-2.212,-3.700
21886.200,0.000,1401.100,739.100,0.973,0.950,593.189,480.404,-42.186,546.816,423.672,43.625,701.942,396.710,-11.320,593.189,480.404,-42.186,588.558,542.127,15.456,674.500,529.479,-17.816,642.980,616.910,-2.947,546.816,423.672,43.625,701.942,396.710,-11.320,22.099,4.777,10.313
22964.300,0.000,1401.100,505.700,0.973,0.650,632.555,445.869,-44.576,573.281,396.574,39.256,736.221,375.254,4.148,632.555,445.869,-44.576,611.676,512.697,4.114,701.285,500.486,-17.382,664.524,590.508,-14.110,573.281,396.574,39.256,736.221,375.254,4.148,14.102,9.653,7.731
24065.800,0.000,379.450,739.100,0.264,0.950,720.605,469.052,-45.328,630.911,400.482,12.223,805.682,400.561,15.831,720.605,469.052,-45.328,675.376,528.203,1.255,766.398,523.813,3.652,722.427,611.510,6.777,630.911,400.482,12.223,805.682,400.561,15.831,-1.671,0.694,0.329
25177.100,0.000,38.900,505.700,0.027,0.650,763.782,445.099,-44.476,663.771,380.074,6.778,832.496,391.954,31.805,763.782,445.099,-44.476,705.942,506.884,-11.603,798.935,507.774,4.197,750.777,594.359,-8.876,663.771,380.074,6.778,832.496,391.954,31.805,-10.164,7.350,-3.128
26333.900,0.000,1060.550,739.100,0.736,0.950,645.121,487.930,-44.778,575.129,420.164,27.262,744.752,405.429,-2.102,645.121,487.930,-44.778,620.474,544.345,12.478,712.006,535.543,-4.981,673.575,623.120,9.308,575.129,420.164,27.262,744.752,405.429,-2.102,11.058,-0.672,5.158
27382.900,0.000,379.450,38.900,0.264,0.050,724.456,444.018,-45.789,630.344,384.292,13.767,803.837,386.809,24.664,724.456,444.018,-45.789,676.337,509.502,-6.712,768.001,505.845,-0.112,723.824,596.423,-7.267,630.344,384.292,13.767,803.837,386.809,24.664,-4.537,6.845,-0.089
28434.300,0.000,720.000,38.900,0.500,0.050,668.039,441.899,-45.712,589.492,389.697,29.002,762.501,374.133,11.539,668.039,441.899,-45.712,634.791,508.819,1.466,729.236,499.646,-9.801,687.176,589.144,-9.124,589.492,389.697,29.002,762.501,374.133,11.539,6.378,7.239,4.929
29547.600,0.000,379.450,272.300,0.264,0.350,749.327,470.688,-45.294,654.601,394.880,6.139,827.370,407.708,23.780,749.327,470.688,-45.294,693.690,528.058,-3.759,785.781,529.479,7.043,736.160,615.432,4.477,654.601,394.880,6.139,827.370,407.708,23.780,-6.911,1.786,-3.420
30665.900,0.000,1060.550,272.300,0.736,0.350,650.414,468.198,-45.627,578.712,403.113,29.048,752.057,391.560,2.153,650.414,468.198,-45.627,621.556,529.709,9.291,716.196,521.615,-7.264,673.341,610.002,2.804,578.712,403.113,29.048,752.057,391.560,2.153,10.178,2.001,3.980
31763.300,0.000,720.000,505.700,0.500,0.650,728.041,467.555,-45.996,636.575,396.178,9.733,813.172,400.866,18.184,728.041,467.555,-45.996,679.535,527.633,0.131,772.311,525.017,5.614,725.575,612.310,6.831,636.575,396.178,9.733,813.172,400.866,18.184,-3.178,0.649,-0.924
32931.800,0.000,1060.550,505.700,0.736,0.650,634.221,464.938,-44.936,573.885,405.108,36.420,741.062,391.001,1.075,634.221,464.938,-44.936,610.405,527.798,7.762,701.531,518.656,-14.131,661.008,607.520,-6.147,573.885,405.108,36.420,741.062,391.001,1.075,13.910,6.050,5.086