#{"coordinateSystem":"2d","timestamp":1781627459366,"calibrationWidth":854,"calibrationHeight":894,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
46607.000,0.000,427.000,312.233,0.500,0.349,1025.360,617.053,-47.991,876.672,501.832,-4.181,1099.650,518.080,32.816,1025.360,617.053,-47.991,932.563,692.435,-7.888,1055.498,692.523,14.107,987.326,800.795,10.950,876.672,501.832,-4.181,1099.650,518.080,32.816,-13.202,-1.769,-3.302
47985.000,0.000,811.300,312.233,0.950,0.349,902.317,619.723,-51.066,786.919,512.407,15.475,1022.774,505.257,10.310,902.317,619.723,-51.066,847.301,695.582,7.280,974.914,689.856,4.130,912.124,800.774,17.067,786.919,512.407,15.475,1022.774,505.257,10.310,2.722,-3.949,2.025
49594.000,0.000,42.700,42.700,0.050,0.048,1034.209,580.432,-47.434,882.717,477.380,-1.162,1099.057,494.940,40.666,1034.209,580.432,-47.434,948.284,666.573,-15.484,1064.177,667.804,8.982,1004.107,782.971,-4.733,882.717,477.380,-1.162,1099.057,494.940,40.666,-15.272,4.667,-3.227
50905.000,0.000,427.000,851.300,0.500,0.952,969.486,637.493,-47.936,835.878,522.652,1.448,1064.136,535.431,22.128,969.486,637.493,-47.936,890.940,709.173,-0.116,1013.127,708.438,12.211,945.996,813.577,17.654,835.878,522.652,1.448,1064.136,535.431,22.128,-7.425,-4.063,-2.318
52307.000,0.000,619.150,42.700,0.725,0.048,926.441,569.529,-50.466,804.087,476.325,16.146,1037.483,482.459,23.541,926.441,569.529,-50.466,860.569,659.677,-4.532,987.581,658.021,-0.280,922.430,773.676,-1.907,804.087,476.325,16.146,1037.483,482.459,23.541,-1.906,3.692,-0.631
65088.000,0.000,234.850,581.767,0.275,0.651,1018.099,625.601,-47.248,868.192,513.316,-4.361,1087.322,526.055,33.677,1018.099,625.601,-47.248,926.011,700.823,-8.898,1049.085,699.666,13.752,981.983,807.452,7.824,868.192,513.316,-4.361,1087.322,526.055,33.677,-14.158,-0.944,-2.907
66920.000,0.000,811.300,42.700,0.950,0.048,868.146,600.384,-50.890,761.967,502.206,23.666,996.279,492.408,9.337,868.146,600.384,-50.890,815.258,683.674,6.162,947.297,677.218,-2.527,883.535,791.361,7.074,761.967,502.206,23.666,996.279,492.408,9.337,5.761,-0.266,2.295
68389.000,0.000,42.700,312.233,0.050,0.349,1061.787,605.220,-44.127,907.213,500.331,-9.288,1106.816,515.231,42.782,1061.787,605.220,-44.127,975.122,688.262,-15.803,1078.276,685.609,14.348,1020.545,800.110,0.974,907.213,500.331,-9.288,1106.816,515.231,42.782,-20.209,2.755,-3.203
69873.000,0.000,42.700,851.300,0.050,0.952,965.698,708.032,-45.558,838.218,576.557,-6.545,1068.432,581.515,9.344,965.698,708.032,-45.558,884.067,764.247,12.531,1009.848,760.911,21.849,941.400,850.932,42.747,838.218,576.557,-6.545,1068.432,581.515,9.344,-5.504,-13.683,-1.391
71571.000,0.000,811.300,851.300,0.950,0.952,840.003,672.742,-48.455,744.275,557.558,19.565,975.518,547.812,-4.868,840.003,672.742,-48.455,801.811,740.872,17.789,925.706,735.024,3.632,868.787,839.038,30.201,744.275,557.558,19.565,975.518,547.812,-4.868,9.841,-8.439,2.934
72865.000,0.000,811.300,581.767,0.950,0.651,885.839,620.418,-50.765,774.327,519.494,19.805,1011.771,509.455,9.500,885.839,620.418,-50.765,834.877,701.597,6.316,964.621,694.036,0.445,901.668,808.018,12.876,774.327,519.494,19.805,1011.771,509.455,9.500,4.506,-2.038,2.648
74288.000,0.000,234.850,851.300,0.275,0.952,1004.204,697.532,-45.145,868.164,565.459,-10.345,1092.487,579.251,17.277,1004.204,697.532,-45.145,914.656,757.324,6.577,1033.876,758.139,22.625,963.762,848.549,37.393,868.164,565.459,-10.345,1092.487,579.251,17.277,-9.862,-11.773,-3.158
76088.000,0.000,42.700,581.767,0.050,0.651,1043.042,599.184,-47.248,890.597,496.784,-1.383,1105.404,510.277,38.812,1043.042,599.184,-47.248,958.405,684.127,-13.656,1075.304,682.309,9.979,1013.824,797.858,-1.186,890.597,496.784,-1.383,1105.404,510.277,38.812,-14.693,3.588,-2.304
77630.000,0.000,619.150,851.300,0.725,0.952,897.832,674.834,-49.700,783.677,561.294,13.063,1020.694,548.268,3.390,897.832,674.834,-49.700,846.575,744.003,13.154,976.121,734.709,7.433,915.326,838.692,29.282,783.677,561.294,13.063,1020.694,548.268,3.390,4.426,-8.024,3.615
78986.000,0.000,234.850,42.700,0.275,0.048,976.079,576.728,-50.585,839.131,487.540,12.130,1074.855,489.861,31.176,976.079,576.728,-50.585,908.006,671.433,-10.078,1034.754,667.919,1.362,971.591,786.785,-6.045,839.131,487.540,12.130,1074.855,489.861,31.176,-5.933,5.683,0.504
80379.000,0.000,427.000,42.700,0.500,0.048,922.290,589.695,-51.426,804.028,496.014,18.994,1041.629,496.801,19.861,922.290,589.695,-51.426,860.958,679.060,-1.925,992.344,676.295,-1.203,924.550,793.209,-0.120,804.028,496.014,18.994,1041.629,496.801,19.861,0.659,3.068,0.471
81643.000,0.000,234.850,312.233,0.275,0.349,1013.937,602.830,-49.124,867.320,503.518,4.247,1093.758,512.607,34.305,1013.937,602.830,-49.124,931.677,690.775,-11.464,1055.925,688.465,6.600,991.491,801.732,-2.351,867.320,503.518,4.247,1093.758,512.607,34.305,-10.608,3.690,-1.612
83027.000,0.000,619.150,312.233,0.725,0.349,922.598,608.721,-51.011,806.233,507.479,16.989,1041.888,508.532,16.615,922.598,608.721,-51.011,861.847,692.603,1.212,991.727,689.930,1.054,924.038,803.344,7.086,806.233,507.479,16.989,1041.888,508.532,16.615,1.129,0.290,0.313
84733.000,0.000,427.000,581.767,0.500,0.651,999.998,626.671,-49.428,856.303,519.152,2.965,1087.485,528.943,28.496,999.998,626.671,-49.428,920.132,708.835,-6.123,1044.616,706.670,9.201,979.207,816.596,8.577,856.303,519.152,2.965,1087.485,528.943,28.496,-8.803,-0.207,-1.447
86197.000,0.000,619.150,581.767,0.725,0.651,932.803,634.884,-50.896,811.957,527.378,12.616,1047.635,527.722,15.264,932.803,634.884,-50.896,870.347,713.104,3.271,998.266,710.287,4.942,931.813,820.288,14.760,811.957,527.378,12.616,1047.635,527.722,15.264,-0.008,-2.450,0.407