ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P07,Part B,oneEuro,Low → Med → High,completed,1,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,0,82.30000000000001,349.775,0,0,4.2252,2.2249,2.2243,4.2252,361.91,361.91,756.00,411.50,1117.25,389.73,1145.53,422.11,1117.25,389.73,1105.78,411.50,1,451.0,1776605.10,1777436.80,1777436.80,1779661.70,1778303.60,1779661.10,1781662.00
P07,Part B,oneEuro,Low → Med → High,completed,2,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,1,82.30000000000001,349.775,180,1,4.9104,2.9099,2.9099,4.9104,705.06,705.06,1105.78,411.50,400.73,415.38,365.35,415.43,400.73,415.38,406.23,411.50,1,544.2,1782171.00,1782318.90,1782318.90,1785228.80,1783936.60,1785228.80,1787229.30
P07,Part B,oneEuro,Low → Med → High,completed,3,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,2,82.30000000000001,349.775,45,2,6.1760,4.1760,4.1760,6.1760,623.68,623.68,406.23,411.50,981.12,653.30,1040.01,641.81,981.12,653.30,1003.33,658.83,1,1316.9,1787744.20,1788352.50,1788352.50,1792528.50,1789660.20,1792528.50,1794528.50
P07,Part B,oneEuro,Low → Med → High,completed,4,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,3,82.30000000000001,349.775,225,3,10.7511,8.7498,8.7497,10.7511,692.68,692.68,1003.33,658.83,517.02,165.57,529.68,199.38,517.02,165.57,508.67,164.17,1,360.5,1795037.80,1795277.60,1795277.60,1804027.40,1800435.70,1804027.30,1806028.70
P07,Part B,oneEuro,Low → Med → High,completed,5,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,4,82.30000000000001,349.775,90,4,9.4560,7.4549,7.5074,9.5085,643.24,643.24,508.67,164.17,767.57,753.01,734.72,726.40,767.57,753.01,756.00,761.27,2,891.2,1806545.20,1806545.30,1806597.80,1814052.70,1810394.60,1814052.70,1816053.80
P07,Part B,oneEuro,Low → Med → High,completed,6,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,5,82.30000000000001,349.775,270,5,8.0174,6.0076,6.0075,8.0174,712.47,712.47,756.00,761.27,771.82,48.98,725.76,87.83,771.82,48.98,756.00,61.73,1,367.6,1816570.40,1817169.50,1817169.50,1823177.10,1820835.70,1823177.00,1825186.90
P07,Part B,oneEuro,Low → Med → High,completed,7,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,6,82.30000000000001,349.775,135,6,7.0384,5.0311,5.0678,7.0751,631.86,631.86,756.00,61.73,520.56,648.08,511.62,617.96,520.56,648.08,508.67,658.83,1,2659.6,1825694.80,1825968.50,1826005.20,1831036.30,1827335.10,1831036.30,1833043.60
P07,Part B,oneEuro,Low → Med → High,completed,8,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,7,82.30000000000001,349.775,315,7,5.9261,3.9264,3.9425,5.9425,688.01,688.01,508.67,658.83,995.28,172.45,1014.05,125.34,995.28,172.45,1003.33,164.17,1,911.9,1833549.00,1834402.00,1834418.40,1838344.80,1836978.80,1838344.50,1840344.50
P07,Part B,oneEuro,Low → Med → High,completed,9,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,0,49.379999999999995,366.23499999999996,0,0,9.3205,7.3181,7.3181,9.3205,374.00,374.00,756.00,411.50,1129.41,390.54,1131.82,434.23,1129.41,390.54,1122.23,411.50,2,475.9,1851461.00,1852160.30,1852160.30,1859478.40,1855926.80,1859478.40,1861480.80
P07,Part B,oneEuro,Low → Med → High,completed,10,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,1,49.379999999999995,366.23499999999996,180,1,8.0179,6.0179,6.0179,8.0179,731.24,731.24,1122.23,411.50,391.36,434.69,371.23,396.66,391.36,434.69,389.77,411.50,3,1252.0,1861996.30,1862618.90,1862618.90,1868636.80,1864652.40,1868636.80,1870636.80
P07,Part B,oneEuro,Low → Med → High,completed,11,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,2,49.379999999999995,366.23499999999996,45,2,7.9634,5.9546,5.9558,7.9646,676.19,676.19,389.77,411.50,1009.27,682.52,996.68,686.50,1009.27,682.52,1014.97,670.47,1,674.6,1871145.50,1871146.90,1871148.10,1877102.70,1875526.90,1877102.70,1879111.50
P07,Part B,oneEuro,Low → Med → High,completed,12,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,3,49.379999999999995,366.23499999999996,225,3,10.0820,8.0740,8.0741,10.0821,724.33,724.33,1014.97,670.47,493.04,168.23,510.96,172.87,493.04,168.23,497.03,152.53,2,1513.7,1879627.70,1880386.10,1880386.20,1888460.20,1883293.40,1888460.20,1890468.20
P07,Part B,oneEuro,Low → Med → High,completed,13,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,4,49.379999999999995,366.23499999999996,90,4,8.9842,6.9831,7.0811,9.0822,663.17,663.17,497.03,152.53,768.33,757.67,752.49,802.15,768.33,757.67,756.00,777.73,2,1594.4,1890974.30,1890987.30,1891085.30,1898068.40,1895218.40,1898068.40,1900069.50
P07,Part B,oneEuro,Low → Med → High,completed,14,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,5,49.379999999999995,366.23499999999996,270,5,6.7094,4.6993,5.2551,7.2652,728.90,728.90,756.00,777.73,771.07,48.99,740.05,26.82,771.07,48.99,756.00,45.27,1,705.7,1900587.70,1900587.80,1901143.60,1905842.90,1904719.80,1905842.90,1907853.00
P07,Part B,oneEuro,Low → Med → High,completed,15,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,6,49.379999999999995,366.23499999999996,135,6,7.6751,5.6754,5.9343,7.9344,680.14,680.14,756.00,45.27,517.05,682.04,495.18,646.63,517.05,682.04,497.03,670.47,1,446.8,1908363.40,1908476.30,1908735.60,1914411.00,1913408.80,1914410.60,1916410.70
P07,Part B,oneEuro,Low → Med → High,completed,16,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,7,49.379999999999995,366.23499999999996,315,7,8.8356,6.8340,6.8655,8.8671,730.71,730.71,497.03,670.47,1027.38,167.81,1012.05,128.93,1027.38,167.81,1014.97,152.53,3,1064.0,1916927.20,1916927.80,1916959.30,1923793.30,1920134.80,1923793.30,1925794.90
P07,Part B,oneEuro,Low → Med → High,completed,17,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,0,82.30000000000001,349.775,0,0,3.9294,1.9283,1.9463,3.9474,310.40,310.40,756.00,411.50,1066.40,410.50,1145.49,411.34,1066.40,410.50,1105.78,411.50,1,10060.2,1942848.70,1943336.50,1943354.50,1945282.80,1943972.60,1945282.80,1947283.90
P07,Part B,oneEuro,Low → Med → High,completed,18,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,1,82.30000000000001,349.775,180,1,8.2847,6.2828,6.3156,8.3175,724.06,724.06,1105.78,411.50,381.72,410.52,446.98,408.94,381.72,410.52,406.23,411.50,3,13413.9,1947797.60,1947797.60,1947830.40,1954113.20,1948996.20,1954113.20,1956115.10
P07,Part B,oneEuro,Low → Med → High,completed,19,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,2,82.30000000000001,349.775,45,2,6.5459,4.5458,4.5834,6.5835,624.52,624.52,406.23,411.50,981.43,654.75,1041.89,671.70,981.43,654.75,1003.33,658.83,1,13789.2,1956631.80,1957222.30,1957259.90,1961805.70,1958354.40,1961805.70,1963805.80
P07,Part B,oneEuro,Low → Med → High,completed,20,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,3,82.30000000000001,349.775,225,3,5.8060,3.8035,3.8247,5.8272,668.49,668.49,1003.33,658.83,531.10,185.68,478.25,137.62,531.10,185.68,508.67,164.17,1,10201.8,1964324.50,1964371.90,1964393.10,1968196.60,1966323.50,1968196.60,1970199.10
P07,Part B,oneEuro,Low → Med → High,completed,21,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,4,82.30000000000001,349.775,90,4,8.5929,6.5846,6.7489,8.7572,641.25,641.25,508.67,164.17,754.88,756.28,715.96,770.63,754.88,756.28,756.00,761.27,3,9493.0,1970715.40,1970715.40,1970879.70,1977464.30,1972580.50,1977464.30,1979472.60
P07,Part B,oneEuro,Low → Med → High,completed,22,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,5,82.30000000000001,349.775,270,5,4.3792,2.3782,2.3991,4.4005,675.45,675.45,756.00,761.27,738.53,86.05,770.09,100.13,738.53,86.05,756.00,61.73,0,8604.1,1979981.80,1980597.40,1980618.70,1982996.90,1982996.50,1982996.50,1984997.90
P07,Part B,oneEuro,Low → Med → High,completed,23,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,6,82.30000000000001,349.775,135,6,8.7013,6.6933,6.7982,8.8063,665.68,665.68,756.00,61.73,494.70,673.97,507.50,618.04,494.70,673.97,508.67,658.83,3,9709.4,1985506.80,1985508.10,1985613.10,1992306.40,1987002.50,1992306.30,1994314.40
P07,Part B,oneEuro,Low → Med → High,completed,24,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,0,7,82.30000000000001,349.775,315,7,5.3762,3.3752,3.3752,5.3762,681.74,681.74,508.67,658.83,1007.93,194.60,1023.13,129.79,1007.93,194.60,1003.33,164.17,1,11329.0,1994822.80,1995421.50,1995421.50,1998796.70,1996663.40,1998796.70,2000797.70
P07,Part B,oneEuro,Low → Med → High,completed,25,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,0,49.379999999999995,366.23499999999996,0,0,5.5249,3.5158,3.5159,5.5250,361.44,361.44,756.00,411.50,1116.76,389.25,1135.17,390.49,1116.76,389.25,1122.23,411.50,1,6975.9,2009626.50,2010143.60,2010143.70,2013659.50,2011143.30,2013659.50,2015668.60
P07,Part B,oneEuro,Low → Med → High,completed,26,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,1,49.379999999999995,366.23499999999996,180,1,10.3011,8.2992,8.6393,10.6412,749.38,749.38,1122.23,411.50,372.86,412.47,396.24,434.93,372.86,412.47,389.77,411.50,2,13335.0,2016173.10,2016185.70,2016525.80,2024825.00,2018175.20,2024825.00,2026826.90
P07,Part B,oneEuro,Low → Med → High,completed,27,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,2,49.379999999999995,366.23499999999996,45,2,7.7827,5.7741,5.7741,7.7827,680.54,680.54,389.77,411.50,1016.73,676.16,997.21,687.30,1016.73,676.16,1014.97,670.47,2,13697.5,2027336.10,2027760.40,2027760.40,2033534.50,2028984.20,2033534.50,2035543.10
P07,Part B,oneEuro,Low → Med → High,completed,28,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,3,49.379999999999995,366.23499999999996,225,3,7.2010,5.2001,5.7204,7.7213,746.82,746.82,1014.97,670.47,482.21,147.11,484.76,173.90,482.21,147.11,497.03,152.53,1,12434.3,2036060.20,2036300.80,2036821.10,2042021.20,2038622.40,2042021.20,2044022.10
P07,Part B,oneEuro,Low → Med → High,completed,29,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,4,49.379999999999995,366.23499999999996,90,4,8.1806,6.1716,6.1758,8.1848,683.14,683.14,497.03,152.53,748.83,787.57,774.84,762.08,748.83,787.57,756.00,777.73,1,11396.7,2044532.50,2044946.10,2044950.30,2051121.90,2049739.80,2051121.90,2053130.90
P07,Part B,oneEuro,Low → Med → High,completed,30,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,5,49.379999999999995,366.23499999999996,270,5,5.9228,3.9214,4.4583,6.4597,719.12,719.12,756.00,777.73,741.36,58.76,734.59,33.10,741.36,58.76,756.00,45.27,1,8885.3,2053646.60,2054554.40,2055091.30,2059012.70,2058029.10,2059012.70,2061014.10
P07,Part B,oneEuro,Low → Med → High,completed,31,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,6,49.379999999999995,366.23499999999996,135,6,8.8927,6.8834,7.3505,9.3600,692.46,692.46,756.00,45.27,495.25,686.76,497.99,646.31,495.25,686.76,497.03,670.47,2,12600.8,2061530.30,2061612.40,2062079.70,2068963.10,2066381.00,2068962.90,2070972.40
P07,Part B,oneEuro,Low → Med → High,completed,32,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",1,exponential,interp,27.5689,347.18,1,7,49.379999999999995,366.23499999999996,315,7,5.2600,3.2505,3.3645,5.3740,735.51,735.51,497.03,670.47,1029.92,163.50,993.57,164.65,1029.92,163.50,1014.97,152.53,0,9324.7,2071481.90,2071481.90,2071595.90,2074846.40,2074846.40,2074846.40,2076855.90
